x,theta
0.443576,-0.970245
0.444064,-0.972428
0.444553,-0.974612
0.445042,-0.976796
0.445530,-0.978979
0.446019,-0.980608
0.446507,-0.981329
0.446996,-0.982050
0.447484,-0.982771
0.447973,-0.983492
0.448461,-0.984213
0.448950,-0.984934
0.449438,-0.985654
0.449927,-0.986375
0.450415,-0.986626
0.450904,-0.986795
0.451392,-0.986963
0.451881,-0.987131
0.452369,-0.987299
0.452858,-0.987468
0.453346,-0.987636
0.453835,-0.987804
0.454323,-0.987909
0.454812,-0.987879
0.455300,-0.987849
0.455789,-0.987820
0.456277,-0.987790
0.456766,-0.987760
0.457255,-0.987731
0.457743,-0.987701
0.458232,-0.987671
0.458720,-0.987520
0.459209,-0.987424
0.459697,-0.987328
0.460186,-0.987232
0.460674,-0.987136
0.461163,-0.987040
0.461651,-0.986944
0.462140,-0.986847
0.462628,-0.986751
0.463117,-0.986655
0.463605,-0.986559
0.464094,-0.986463
0.464582,-0.986367
0.465071,-0.986271
0.465559,-0.986175
0.466048,-0.986079
0.466536,-0.985983
0.467025,-0.985883
0.467513,-0.985783
0.468002,-0.985683
0.468490,-0.985582
0.468979,-0.985482
0.469468,-0.985381
0.469956,-0.985281
0.470445,-0.985181
0.470933,-0.985080
0.471422,-0.984980
0.471910,-0.984880
0.472399,-0.984779
0.472887,-0.984679
0.473376,-0.984579
0.473864,-0.984478
0.474353,-0.984378
0.474841,-0.984277
0.475330,-0.984193
0.475818,-0.984115
0.476307,-0.984038
0.476795,-0.983961
0.477284,-0.983883
0.477772,-0.983806
0.478261,-0.983728
0.478749,-0.983651
0.479238,-0.983574
0.479726,-0.983496
0.480215,-0.983419
0.480703,-0.983342
0.481192,-0.983264
0.481681,-0.983187
0.482169,-0.983109
0.482658,-0.983032
0.483146,-0.982955
0.483635,-0.982873
0.484123,-0.982839
0.484612,-0.982806
0.485100,-0.982772
0.485589,-0.982738
0.486077,-0.982704
0.486566,-0.982671
0.487054,-0.982637
0.487543,-0.982603
0.488031,-0.982570
0.488520,-0.982536
0.489008,-0.982502
0.489497,-0.982468
0.489985,-0.982435
0.490474,-0.982401
0.490962,-0.982367
0.491451,-0.982334
0.491939,-0.982300
0.492428,-0.982266
0.492916,-0.982232
0.493405,-0.982199
0.493894,-0.982165
0.494382,-0.982131
0.494871,-0.982098
0.495359,-0.982064
0.495848,-0.982030
0.496336,-0.981996
0.496825,-0.981963
0.497313,-0.981929
0.497802,-0.981895
0.498290,-0.981861
0.498779,-0.981828
0.499267,-0.981794
0.499756,-0.981760
0.500244,-0.981757
0.500733,-0.981783
0.501221,-0.981809
0.501710,-0.981835
0.502198,-0.981862
0.502687,-0.981888
0.503175,-0.981914
0.503664,-0.981941
0.504152,-0.981967
0.504641,-0.981993
0.505129,-0.982019
0.505618,-0.982046
0.506106,-0.982072
0.506595,-0.982098
0.507084,-0.982125
0.507572,-0.982151
0.508061,-0.982177
0.508549,-0.982204
0.509038,-0.982230
0.509526,-0.982256
0.510015,-0.982282
0.510503,-0.982309
0.510992,-0.982335
0.511480,-0.982361
0.511969,-0.982388
0.512457,-0.982414
0.512946,-0.982440
0.513434,-0.982466
0.513923,-0.982493
0.514411,-0.982519
0.514900,-0.982545
0.515388,-0.982572
0.515877,-0.982598
0.516365,-0.982624
0.516854,-0.982699
0.517342,-0.982771
0.517831,-0.982843
0.518319,-0.982915
0.518808,-0.982986
0.519297,-0.983058
0.519785,-0.983130
0.520274,-0.983202
0.520762,-0.983274
0.521251,-0.983346
0.521739,-0.983417
0.522228,-0.983489
0.522716,-0.983561
0.523205,-0.983633
0.523693,-0.983705
0.524182,-0.983776
0.524670,-0.983848
0.525159,-0.983930
0.525647,-0.984031
0.526136,-0.984132
0.526624,-0.984234
0.527113,-0.984335
0.527601,-0.984436
0.528090,-0.984538
0.528578,-0.984639
0.529067,-0.984740
0.529555,-0.984842
0.530044,-0.984943
0.530532,-0.985044
0.531021,-0.985146
0.531510,-0.985247
0.531998,-0.985348
0.532487,-0.985449
0.532975,-0.985551
0.533464,-0.985656
0.533952,-0.985773
0.534441,-0.985890
0.534929,-0.986007
0.535418,-0.986124
0.535906,-0.986241
0.536395,-0.986358
0.536883,-0.986475
0.537372,-0.986592
0.537860,-0.986709
0.538349,-0.986825
0.538837,-0.986942
0.539326,-0.987059
0.539814,-0.987176
0.540303,-0.987293
0.540791,-0.987410
0.541280,-0.987527
0.541768,-0.987618
0.542257,-0.987611
0.542745,-0.987603
0.543234,-0.987596
0.543723,-0.987589
0.544211,-0.987581
0.544700,-0.987574
0.545188,-0.987567
0.545677,-0.987560
0.546165,-0.987552
0.546654,-0.987545
0.547142,-0.987538
0.547631,-0.987530
0.548119,-0.987523
0.548608,-0.987516
0.549096,-0.987509
0.549585,-0.987501
0.550073,-0.987694
0.550562,-0.987180
0.551050,-0.986666
0.551539,-0.986152
0.552027,-0.985638
0.552516,-0.985124
0.553004,-0.984610
0.553493,-0.984096
0.553981,-0.983582
0.554470,-0.982319
0.554958,-0.980597
0.555447,-0.978876
0.555936,-0.977155
0.556424,-0.975434
0.556913,-0.973712
0.557401,-0.971991
0.557890,-0.970270
0.558378,-0.969033
0.558867,-0.965440
0.559355,-0.961848
0.559844,-0.958255
0.560332,-0.954662
0.560821,-0.949154
0.561309,-0.943245
0.561798,-0.937336
0.562286,-0.931427
0.562775,-0.923498
0.563263,-0.913999
0.563752,-0.904499
0.564240,-0.894999
0.564729,-0.883897
0.565217,-0.869019
0.565706,-0.854140
0.566194,-0.839262
0.566683,-0.824129
0.567171,-0.801634
0.567660,-0.779139
0.568149,-0.756643
0.568637,-0.734148
0.569126,-0.704073
0.569614,-0.671718
0.570103,-0.639363
0.570591,-0.607008
0.571080,-0.569082
0.571568,-0.525680
0.572057,-0.482277
0.572545,-0.438874
0.573034,-0.393143
0.573522,-0.340021
0.574011,-0.286898
0.574499,-0.233776
0.574988,-0.180653
0.575476,-0.122607
0.575965,-0.064434
0.576453,-0.006261
0.576942,0.051912
0.577430,0.108817
0.577919,0.165205
0.578407,0.221593
0.578896,0.277981
0.579384,0.330857
0.579873,0.379366
0.580362,0.427876
0.580850,0.476386
0.581339,0.522923
0.581827,0.560548
0.582316,0.598173
0.582804,0.635798
0.583293,0.673423
0.583781,0.701213
0.584270,0.728108
0.584758,0.755004
0.585247,0.781900
0.585735,0.803073
0.586224,0.821192
0.586712,0.839311
