step,time,mass,ch_energy,kinetic_energy,total_energy,divergence_L2,c_min,c_max,u_max,cfl_number,amplitude,y_min,y_max,n_spikes,mu_min,mu_max,p_min,p_max,c_norm,mu_norm,ux_norm,uy_norm,p_norm,F_cap_max,F_mag_max,F_grav_max
400,2.000000000000e-01,-2.003999927482e-01,2.362584541916e+00,3.869340259906e-05,2.362623235318e+00,1.746169794271e-01,-1.000450294533e+00,1.000856028420e+00,1.366184154160e-01,1.499511356688e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
410,2.050000000000e-01,-2.003999927482e-01,2.362601683376e+00,4.054151186154e-05,2.362642224888e+00,1.828441398906e-01,-1.000450846431e+00,1.000835291870e+00,1.426755437963e-01,1.565993849312e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
420,2.100000000000e-01,-2.003999927482e-01,2.362613659994e+00,4.255034301243e-05,2.362656210337e+00,1.917150028067e-01,-1.000450317390e+00,1.000821049061e+00,1.500099564001e-01,1.646495697914e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
430,2.150000000000e-01,-2.003999927482e-01,2.362621248440e+00,4.484247833821e-05,2.362666090918e+00,1.992666396929e-01,-1.000450834402e+00,1.000814111211e+00,1.571619917680e-01,1.724995790489e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
440,2.200000000000e-01,-2.003999927482e-01,2.362625024537e+00,4.762064160721e-05,2.362672645179e+00,2.063003315163e-01,-1.000452020560e+00,1.000805817866e+00,1.632078395474e-01,1.791354468258e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
450,2.250000000000e-01,-2.003999927482e-01,2.362624961823e+00,5.129957868299e-05,2.362676261402e+00,2.150930316784e-01,-1.000453152416e+00,1.000798633633e+00,1.720619646039e-01,1.888536543131e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
460,2.300000000000e-01,-2.003999927482e-01,2.362621435121e+00,5.571900979637e-05,2.362677154131e+00,2.239859017170e-01,-1.000452099672e+00,1.000787699547e+00,1.785893490858e-01,1.960180524144e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
470,2.350000000000e-01,-2.003999927482e-01,2.362616819959e+00,5.958418347817e-05,2.362676404142e+00,2.345540555189e-01,-1.000451647654e+00,1.000774415628e+00,1.878226464772e-01,2.061524360227e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
480,2.400000000000e-01,-2.003999927482e-01,2.362613703994e+00,6.195959770327e-05,2.362675663592e+00,2.431107281426e-01,-1.000450365372e+00,1.000758607864e+00,1.939708034619e-01,2.129005974570e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
490,2.450000000000e-01,-2.003999927482e-01,2.362611654316e+00,6.389464850050e-05,2.362675548964e+00,2.540238346226e-01,-1.000447516842e+00,1.000739991250e+00,2.019712601519e-01,2.216818262752e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
