step,time,E_CH,E_kin,E_mag,E_internal,E_total,dE_internal_dt,dE_total_dt
135,6.800000e-02,9.434167e-01,2.354958e-05,7.652589e+00,9.434402e-01,8.596030e+00,8.195299e-03,2.258542e+02
136,6.850000e-02,9.434207e-01,2.351688e-05,7.766351e+00,9.434442e-01,8.709796e+00,7.995779e-03,2.275319e+02
137,6.900000e-02,9.434247e-01,2.358918e-05,7.880953e+00,9.434483e-01,8.824401e+00,8.236361e-03,2.292113e+02
138,6.950000e-02,9.434288e-01,2.359238e-05,7.996393e+00,9.434524e-01,8.939846e+00,8.100321e-03,2.308891e+02
139,7.000000e-02,9.434328e-01,2.358118e-05,8.112673e+00,9.434564e-01,9.056130e+00,8.058360e-03,2.325682e+02
140,7.050000e-02,9.434368e-01,2.354929e-05,8.229793e+00,9.434604e-01,9.173253e+00,7.970931e-03,2.342463e+02
141,7.100000e-02,9.434409e-01,2.362523e-05,8.347751e+00,9.434645e-01,9.291216e+00,8.268072e-03,2.359257e+02
142,7.150000e-02,9.434449e-01,2.362559e-05,8.466549e+00,9.434686e-01,9.410018e+00,8.086206e-03,2.376033e+02
143,7.200000e-02,9.434490e-01,2.358857e-05,8.586186e+00,9.434725e-01,9.529659e+00,7.961883e-03,2.392824e+02
144,7.250000e-02,9.434530e-01,2.356217e-05,8.706663e+00,9.434765e-01,9.650139e+00,7.978402e-03,2.409608e+02
145,7.300000e-02,9.434570e-01,2.363165e-05,8.827978e+00,9.434806e-01,9.771459e+00,8.188019e-03,2.426398e+02
146,7.350000e-02,9.434610e-01,2.360368e-05,8.950133e+00,9.434846e-01,9.893618e+00,7.976418e-03,2.443175e+02
147,7.400000e-02,9.434650e-01,2.359704e-05,9.073128e+00,9.434886e-01,1.001662e+01,7.985167e-03,2.459970e+02
148,7.450000e-02,9.434690e-01,2.359401e-05,9.196961e+00,9.434926e-01,1.014045e+01,7.984120e-03,2.476752e+02
149,7.500000e-02,9.434730e-01,2.368256e-05,9.321634e+00,9.434967e-01,1.026513e+01,8.200962e-03,2.493542e+02
150,7.550000e-02,9.434770e-01,2.366806e-05,9.447146e+00,9.435007e-01,1.039065e+01,7.992451e-03,2.510320e+02
151,7.600000e-02,9.434810e-01,2.367637e-05,9.573498e+00,9.435047e-01,1.051700e+01,8.027911e-03,2.527113e+02
152,7.650000e-02,9.434850e-01,2.365668e-05,9.700689e+00,9.435087e-01,1.064420e+01,7.964368e-03,2.543893e+02
153,7.700000e-02,9.434890e-01,2.365800e-05,9.828719e+00,9.435127e-01,1.077223e+01,7.987658e-03,2.560680e+02
154,7.750000e-02,9.434930e-01,2.374530e-05,9.957588e+00,9.435168e-01,1.090110e+01,8.192895e-03,2.577469e+02
155,7.800000e-02,9.434970e-01,2.372225e-05,1.008730e+01,9.435208e-01,1.103082e+01,7.964776e-03,2.594247e+02
156,7.850000e-02,9.435010e-01,2.371848e-05,1.021784e+01,9.435248e-01,1.116137e+01,7.984771e-03,2.611040e+02
157,7.900000e-02,9.435050e-01,2.366655e-05,1.034923e+01,9.435287e-01,1.129276e+01,7.872640e-03,2.627820e+02
158,7.950000e-02,9.435090e-01,2.368068e-05,1.048146e+01,9.435327e-01,1.142499e+01,7.998046e-03,2.644608e+02
159,8.000000e-02,9.435130e-01,2.376023e-05,1.061452e+01,9.435367e-01,1.155806e+01,8.098330e-03,2.661400e+02
