step,time,message
303,1.520000e-01,"theta bounds violated: [-1.000025, 1.003914]"
304,1.525000e-01,"theta bounds violated: [-1.000025, 1.003917]"
305,1.530000e-01,"theta bounds violated: [-1.000025, 1.003920]"
306,1.535000e-01,"theta bounds violated: [-1.000026, 1.003922]"
307,1.540000e-01,"theta bounds violated: [-1.000026, 1.003925]"
308,1.545000e-01,"theta bounds violated: [-1.000026, 1.003928]"
309,1.550000e-01,"theta bounds violated: [-1.000027, 1.003930]"
310,1.555000e-01,"theta bounds violated: [-1.000027, 1.003933]"
311,1.560000e-01,"theta bounds violated: [-1.000027, 1.003936]"
312,1.565000e-01,"theta bounds violated: [-1.000028, 1.003938]"
313,1.570000e-01,"theta bounds violated: [-1.000028, 1.003941]"
314,1.575000e-01,"theta bounds violated: [-1.000028, 1.003943]"
315,1.580000e-01,"theta bounds violated: [-1.000028, 1.003946]"
316,1.585000e-01,"theta bounds violated: [-1.000029, 1.003949]"
317,1.590000e-01,"theta bounds violated: [-1.000029, 1.003951]"
318,1.595000e-01,"theta bounds violated: [-1.000029, 1.003954]"
319,1.600000e-01,"theta bounds violated: [-1.000030, 1.003957]"
320,1.605000e-01,"theta bounds violated: [-1.000030, 1.003959]"
321,1.610000e-01,"theta bounds violated: [-1.000030, 1.003962]"
322,1.615000e-01,"theta bounds violated: [-1.000031, 1.003964]"
323,1.620000e-01,"theta bounds violated: [-1.000031, 1.003967]"
324,1.625000e-01,"theta bounds violated: [-1.000031, 1.003970]"
325,1.630000e-01,"theta bounds violated: [-1.000032, 1.003972]"
326,1.635000e-01,"theta bounds violated: [-1.000032, 1.003975]"
327,1.640000e-01,"theta bounds violated: [-1.000032, 1.003977]"
328,1.645000e-01,"theta bounds violated: [-1.000033, 1.003980]"
329,1.650000e-01,"theta bounds violated: [-1.000033, 1.003983]"
330,1.655000e-01,"theta bounds violated: [-1.000034, 1.003985]"
331,1.660000e-01,"theta bounds violated: [-1.000034, 1.003988]"
332,1.665000e-01,"theta bounds violated: [-1.000034, 1.003990]"
333,1.670000e-01,"theta bounds violated: [-1.000035, 1.003993]"
334,1.675000e-01,"theta bounds violated: [-1.000035, 1.003995]"
335,1.680000e-01,"theta bounds violated: [-1.000035, 1.003998]"
336,1.685000e-01,"theta bounds violated: [-1.000036, 1.004000]"
337,1.690000e-01,"theta bounds violated: [-1.000036, 1.004003]"
338,1.695000e-01,"theta bounds violated: [-1.000036, 1.004006]"
339,1.700000e-01,"theta bounds violated: [-1.000037, 1.004008]"
340,1.705000e-01,"theta bounds violated: [-1.000037, 1.004011]"
341,1.710000e-01,"theta bounds violated: [-1.000038, 1.004013]"
342,1.715000e-01,"theta bounds violated: [-1.000038, 1.004016]"
343,1.720000e-01,"theta bounds violated: [-1.000038, 1.004018]"
344,1.725000e-01,"theta bounds violated: [-1.000039, 1.004021]"
345,1.730000e-01,"theta bounds violated: [-1.000039, 1.004023]"
346,1.735000e-01,"theta bounds violated: [-1.000040, 1.004026]"
347,1.740000e-01,"theta bounds violated: [-1.000040, 1.004028]"
348,1.745000e-01,"theta bounds violated: [-1.000040, 1.004031]"
349,1.750000e-01,"theta bounds violated: [-1.000041, 1.004033]"
350,1.755000e-01,"theta bounds violated: [-1.000041, 1.004036]"
351,1.760000e-01,"theta bounds violated: [-1.000042, 1.004038]"
352,1.765000e-01,"theta bounds violated: [-1.000042, 1.004041]"
353,1.770000e-01,"theta bounds violated: [-1.000042, 1.004043]"
354,1.775000e-01,"theta bounds violated: [-1.000043, 1.004046]"
355,1.780000e-01,"theta bounds violated: [-1.000043, 1.004048]"
356,1.785000e-01,"theta bounds violated: [-1.000044, 1.004051]"
357,1.790000e-01,"theta bounds violated: [-1.000044, 1.004053]"
358,1.795000e-01,"theta bounds violated: [-1.000044, 1.004056]"
359,1.800000e-01,"theta bounds violated: [-1.000045, 1.004058]"
360,1.805000e-01,"theta bounds violated: [-1.000045, 1.004061]"
361,1.810000e-01,"theta bounds violated: [-1.000046, 1.004063]"
362,1.815000e-01,"theta bounds violated: [-1.000046, 1.004065]"
363,1.820000e-01,"theta bounds violated: [-1.000047, 1.004068]"
364,1.825000e-01,"theta bounds violated: [-1.000047, 1.004070]"
365,1.830000e-01,"theta bounds violated: [-1.000047, 1.004073]"
366,1.835000e-01,"theta bounds violated: [-1.000048, 1.004075]"
367,1.840000e-01,"theta bounds violated: [-1.000048, 1.004078]"
368,1.845000e-01,"theta bounds violated: [-1.000049, 1.004080]"
369,1.850000e-01,"theta bounds violated: [-1.000049, 1.004083]"
370,1.855000e-01,"theta bounds violated: [-1.000050, 1.004085]"
371,1.860000e-01,"theta bounds violated: [-1.000050, 1.004087]"
372,1.865000e-01,"theta bounds violated: [-1.000050, 1.004090]"
373,1.870000e-01,"theta bounds violated: [-1.000051, 1.004092]"
374,1.875000e-01,"theta bounds violated: [-1.000051, 1.004095]"
375,1.880000e-01,"theta bounds violated: [-1.000052, 1.004097]"
376,1.885000e-01,"theta bounds violated: [-1.000052, 1.004100]"
377,1.890000e-01,"theta bounds violated: [-1.000053, 1.004102]"
378,1.895000e-01,"theta bounds violated: [-1.000053, 1.004104]"
379,1.900000e-01,"theta bounds violated: [-1.000054, 1.004107]"
380,1.905000e-01,"theta bounds violated: [-1.000054, 1.004109]"
381,1.910000e-01,"theta bounds violated: [-1.000055, 1.004112]"
382,1.915000e-01,"theta bounds violated: [-1.000055, 1.004114]"
383,1.920000e-01,"theta bounds violated: [-1.000055, 1.004116]"
384,1.925000e-01,"theta bounds violated: [-1.000056, 1.004119]"
385,1.930000e-01,"theta bounds violated: [-1.000056, 1.004121]"
386,1.935000e-01,"theta bounds violated: [-1.000057, 1.004124]"
387,1.940000e-01,"theta bounds violated: [-1.000057, 1.004126]"
388,1.945000e-01,"theta bounds violated: [-1.000058, 1.004128]"
389,1.950000e-01,"theta bounds violated: [-1.000058, 1.004131]"
390,1.955000e-01,"theta bounds violated: [-1.000059, 1.004133]"
391,1.960000e-01,"theta bounds violated: [-1.000059, 1.004136]"
392,1.965000e-01,"theta bounds violated: [-1.000060, 1.004138]"
393,1.970000e-01,"theta bounds violated: [-1.000060, 1.004140]"
394,1.975000e-01,"theta bounds violated: [-1.000061, 1.004143]"
395,1.980000e-01,"theta bounds violated: [-1.000061, 1.004145]"
396,1.985000e-01,"theta bounds violated: [-1.000062, 1.004147]"
397,1.990000e-01,"theta bounds violated: [-1.000062, 1.004150]"
398,1.995000e-01,"theta bounds violated: [-1.000063, 1.004152]"
399,2.000000e-01,"theta bounds violated: [-1.000063, 1.004155]"
400,2.005000e-01,"theta bounds violated: [-1.000064, 1.004157]"
401,2.010000e-01,"theta bounds violated: [-1.000064, 1.004159]"
402,2.015000e-01,"theta bounds violated: [-1.000065, 1.004162]"
403,2.020000e-01,"theta bounds violated: [-1.000066, 1.004164]"
404,2.025000e-01,"theta bounds violated: [-1.000066, 1.004166]"
405,2.030000e-01,"theta bounds violated: [-1.000067, 1.004169]"
406,2.035000e-01,"theta bounds violated: [-1.000067, 1.004171]"
407,2.040000e-01,"theta bounds violated: [-1.000068, 1.004173]"
408,2.045000e-01,"theta bounds violated: [-1.000068, 1.004176]"
409,2.050000e-01,"theta bounds violated: [-1.000069, 1.004178]"
410,2.055000e-01,"theta bounds violated: [-1.000069, 1.004180]"
411,2.060000e-01,"theta bounds violated: [-1.000070, 1.004183]"
