step,time,ramp_factor,h_a_left,h_a_center,h_a_right,h_a_center_x,h_a_center_y,h_a_min,h_a_max,center_edge_ratio,uniformity
130,6.500000e-02,4.062500e-02,5.234750e+00,5.238302e+00,5.234750e+00,1.083775e-17,5.238302e+00,5.232754e+00,5.238302e+00,1.000679e+00,9.989408e-01
131,6.550000e-02,4.093750e-02,5.275017e+00,5.278597e+00,5.275017e+00,-1.216088e-17,5.278597e+00,5.273006e+00,5.278597e+00,1.000679e+00,9.989408e-01
132,6.600000e-02,4.125000e-02,5.315285e+00,5.318892e+00,5.315285e+00,-7.403947e-18,5.318892e+00,5.313258e+00,5.318892e+00,1.000679e+00,9.989408e-01
133,6.650000e-02,4.156250e-02,5.355552e+00,5.359186e+00,5.355552e+00,-2.647010e-18,5.359186e+00,5.353510e+00,5.359186e+00,1.000679e+00,9.989408e-01
134,6.700000e-02,4.187500e-02,5.395819e+00,5.399481e+00,5.395819e+00,2.109927e-18,5.399481e+00,5.393762e+00,5.399481e+00,1.000679e+00,9.989408e-01
135,6.750000e-02,4.218750e-02,5.436087e+00,5.439775e+00,5.436087e+00,6.866864e-18,5.439775e+00,5.434014e+00,5.439775e+00,1.000679e+00,9.989408e-01
136,6.800000e-02,4.250000e-02,5.476354e+00,5.480070e+00,5.476354e+00,1.162380e-17,5.480070e+00,5.474266e+00,5.480070e+00,1.000679e+00,9.989408e-01
137,6.850000e-02,4.281250e-02,5.516621e+00,5.520365e+00,5.516621e+00,3.391138e-19,5.520365e+00,5.514518e+00,5.520365e+00,1.000679e+00,9.989408e-01
138,6.900000e-02,4.312500e-02,5.556889e+00,5.560659e+00,5.556889e+00,5.096051e-18,5.560659e+00,5.554770e+00,5.560659e+00,1.000679e+00,9.989408e-01
139,6.950000e-02,4.343750e-02,5.597156e+00,5.600954e+00,5.597156e+00,9.852988e-18,5.600954e+00,5.595022e+00,5.600954e+00,1.000679e+00,9.989408e-01
140,7.000000e-02,4.375000e-02,5.637423e+00,5.641249e+00,5.637423e+00,-1.314565e-17,5.641249e+00,5.635274e+00,5.641249e+00,1.000679e+00,9.989408e-01
141,7.050000e-02,4.406250e-02,5.677690e+00,5.681543e+00,5.677690e+00,-8.388714e-18,5.681543e+00,5.675526e+00,5.681543e+00,1.000679e+00,9.989408e-01
142,7.100000e-02,4.437500e-02,5.717958e+00,5.721838e+00,5.717958e+00,-3.631777e-18,5.721838e+00,5.715778e+00,5.721838e+00,1.000679e+00,9.989408e-01
143,7.150000e-02,4.468750e-02,5.758225e+00,5.762132e+00,5.758225e+00,1.125160e-18,5.762132e+00,5.756029e+00,5.762132e+00,1.000679e+00,9.989408e-01
144,7.200000e-02,4.500000e-02,5.798492e+00,5.802427e+00,5.798492e+00,5.882097e-18,5.802427e+00,5.796281e+00,5.802427e+00,1.000679e+00,9.989408e-01
145,7.250000e-02,4.531250e-02,5.838760e+00,5.842722e+00,5.838760e+00,1.063903e-17,5.842722e+00,5.836533e+00,5.842722e+00,1.000679e+00,9.989408e-01
146,7.300000e-02,4.562500e-02,5.879027e+00,5.883016e+00,5.879027e+00,-1.235960e-17,5.883016e+00,5.876785e+00,5.883016e+00,1.000679e+00,9.989408e-01
147,7.350000e-02,4.593750e-02,5.919294e+00,5.923311e+00,5.919294e+00,-7.602667e-18,5.923311e+00,5.917037e+00,5.923311e+00,1.000679e+00,9.989408e-01
148,7.400000e-02,4.625000e-02,5.959562e+00,5.963606e+00,5.959562e+00,-2.845730e-18,5.963606e+00,5.957289e+00,5.963606e+00,1.000679e+00,9.989408e-01
149,7.450000e-02,4.656250e-02,5.999829e+00,6.003900e+00,5.999829e+00,1.911207e-18,6.003900e+00,5.997541e+00,6.003900e+00,1.000679e+00,9.989408e-01
150,7.500000e-02,4.687500e-02,6.040096e+00,6.044195e+00,6.040096e+00,6.668144e-18,6.044195e+00,6.037793e+00,6.044195e+00,1.000679e+00,9.989408e-01
